ID,Address,Baths,Beds,BuiltInYear,DateOfSale,IsAStudio,LotSize,LotSizeUnit,SalePrice,Size
15107430,"1578 35th Ave, San Francisco, CA",2.0,,1932.0,12/4/15,0.0,3267.0,,0.675,2301.0
15107430,"1578 35th Ave, San Francisco, CA",2.0,,1932.0,12/4/15,0.0,3267.0,sqft,0.675,2301.0
15107765,"1587 43rd Ave, San Francisco, CA",4.0,3.0,1936.0,12/29/15,0.0,2374.0,,0.994,2165.0
15107765,"1587 43rd Ave, San Francisco, CA",4.0,3.0,1936.0,12/29/15,0.0,2374.0,sqft,0.994,2165.0
15107784,"1534 44th Ave, San Francisco, CA",3.0,3.0,1936.0,11/13/15,0.0,3000.0,sqft,1.28,1325.0
15107784,"1534 44th Ave, San Francisco, CA",3.0,3.0,1936.0,11/13/15,0.0,3000.0,,1.28,1325.0
15107837,"1526 45th Ave, San Francisco, CA",2.0,2.0,1916.0,12/14/15,0.0,3000.0,,0.925,1350.0
15107837,"1526 45th Ave, San Francisco, CA",2.0,2.0,1916.0,12/14/15,0.0,3000.0,sqft,0.925,1350.0
15108109,"4116-4118 Moraga St, San Francisco, CA",,4.0,1910.0,12/30/15,0.0,3049.0,,0.655,1460.0
15108109,"4116-4118 Moraga St, San Francisco, CA",,4.0,1910.0,12/30/15,0.0,3049.0,sqft,0.655,1460.0
15108159,"4036 Moraga St, San Francisco, CA",1.0,2.0,1941.0,12/30/15,0.0,2495.0,,0.75,850.0
15108159,"4036 Moraga St, San Francisco, CA",1.0,2.0,1941.0,12/30/15,0.0,2495.0,sqft,0.75,850.0
15108650,"1618 38th Ave, San Francisco, CA",1.0,3.0,1941.0,12/3/15,0.0,3001.0,sqft,1.2,1775.0
15108650,"1618 38th Ave, San Francisco, CA",1.0,3.0,1941.0,12/3/15,0.0,3001.0,,1.2,1775.0
15108727,"1667 34th Ave, San Francisco, CA",1.0,2.0,1940.0,12/24/15,0.0,3049.0,sqft,1.05,1350.0
15108727,"1667 34th Ave, San Francisco, CA",1.0,2.0,1940.0,12/24/15,0.0,3049.0,,1.05,1350.0
15108819,"2601 Lawton St, San Francisco, CA",1.0,3.0,1942.0,12/18/15,0.0,2178.0,sqft,1.25,1450.0
15108819,"2601 Lawton St, San Francisco, CA",1.0,3.0,1942.0,12/18/15,0.0,2178.0,,1.25,1450.0
15108913,"1626 32nd Ave, San Francisco, CA",3.0,4.0,1935.0,1/4/16,0.0,3001.0,,1.43,2100.0
15108913,"1626 32nd Ave, San Francisco, CA",3.0,4.0,1935.0,1/4/16,0.0,3001.0,sqft,1.43,2100.0
15109011,"1630 30th Ave, San Francisco, CA",1.0,,1945.0,12/30/15,0.0,2996.0,sqft,1.01,1300.0
15109011,"1630 30th Ave, San Francisco, CA",1.0,,1945.0,12/30/15,0.0,2996.0,,1.01,1300.0
15109410,"1622 21st Ave, San Francisco, CA",1.0,2.0,1936.0,12/22/15,0.0,3049.0,,0.851,1275.0
15109410,"1622 21st Ave, San Francisco, CA",1.0,2.0,1936.0,12/22/15,0.0,3049.0,sqft,0.851,1275.0
15110595,"1727 34th Ave, San Francisco, CA",2.0,3.0,1940.0,11/23/15,0.0,3001.0,sqft,1.33,1845.0
15110595,"1727 34th Ave, San Francisco, CA",2.0,3.0,1940.0,11/23/15,0.0,3001.0,,1.33,1845.0
15110823,"1727 29th Ave, San Francisco, CA",3.5,4.0,1939.0,12/23/15,0.0,3001.0,sqft,1.88,2580.0
15110823,"1727 29th Ave, San Francisco, CA",3.5,4.0,1939.0,12/23/15,0.0,3001.0,,1.88,2580.0
15111172,"1750 23rd Ave, San Francisco, CA",3.0,3.0,1949.0,12/15/15,0.0,3000.0,sqft,1.16,2028.0
15111172,"1750 23rd Ave, San Francisco, CA",3.0,3.0,1949.0,12/15/15,0.0,3000.0,,1.16,2028.0
15111486,"1700 14th Ave, San Francisco, CA",3.0,3.0,1978.0,12/18/15,0.0,2078.0,sqft,0.76,1756.0
15111486,"1700 14th Ave, San Francisco, CA",3.0,3.0,1978.0,12/18/15,0.0,2078.0,,0.76,1756.0
15111533,"1732-1734 Funston Ave, San Francisco, CA",2.0,,1954.0,12/2/15,0.0,2996.0,,1.65,2524.0
15111533,"1732-1734 Funston Ave, San Francisco, CA",2.0,,1954.0,12/2/15,0.0,2996.0,sqft,1.65,2524.0
15111559,"1755 11th Ave, San Francisco, CA",1.5,2.0,1924.0,12/2/15,0.0,3000.0,,1.0,1250.0
15111559,"1755 11th Ave, San Francisco, CA",1.5,2.0,1924.0,12/2/15,0.0,3000.0,sqft,1.0,1250.0
15111575,"1706 12th Ave, San Francisco, CA",2.0,4.0,1938.0,12/16/15,0.0,2021.0,,1.5,1861.0
15111575,"1706 12th Ave, San Francisco, CA",2.0,4.0,1938.0,12/16/15,0.0,2021.0,sqft,1.5,1861.0
15111695,"124 Noriega St, San Francisco, CA",2.0,3.0,1941.0,12/10/15,0.0,2500.0,,1.26,1484.0
15111695,"124 Noriega St, San Francisco, CA",2.0,3.0,1941.0,12/10/15,0.0,2500.0,sqft,1.26,1484.0
15111963,"870 Pacheco St, San Francisco, CA",4.0,3.0,1940.0,12/10/15,0.0,3798.0,sqft,1.58,1983.0
15111963,"870 Pacheco St, San Francisco, CA",4.0,3.0,1940.0,12/10/15,0.0,3798.0,,1.58,1983.0
15112556,"1819 26th Ave, San Francisco, CA",1.0,2.0,1939.0,1/14/16,0.0,2996.0,,1.0,1175.0
15112556,"1819 26th Ave, San Francisco, CA",1.0,2.0,1939.0,1/14/16,0.0,2996.0,sqft,1.0,1175.0
15112775,"1863 30th Ave, San Francisco, CA",1.0,2.0,1939.0,12/8/15,0.0,2996.0,,0.076,1319.0
15112775,"1863 30th Ave, San Francisco, CA",1.0,2.0,1939.0,12/8/15,0.0,2996.0,sqft,0.076,1319.0
15112892,"1863 32nd Ave, San Francisco, CA",2.0,2.0,1941.0,12/2/15,0.0,3049.0,,1.1,1150.0
15112892,"1863 32nd Ave, San Francisco, CA",2.0,2.0,1941.0,12/2/15,0.0,3049.0,sqft,1.1,1150.0
15113076,"2845 Noriega St, San Francisco, CA",2.5,3.0,1947.0,12/22/15,0.0,2931.0,sqft,1.23,2180.0
15113076,"2845 Noriega St, San Francisco, CA",2.5,3.0,1947.0,12/22/15,0.0,2931.0,,1.23,2180.0
15113584,"1858 47th Ave, San Francisco, CA",2.0,3.0,1958.0,12/21/15,0.0,3000.0,sqft,0.895,1135.0
15113584,"1858 47th Ave, San Francisco, CA",2.0,3.0,1958.0,12/21/15,0.0,3000.0,,0.895,1135.0
15114102,"1922 42nd Ave, San Francisco, CA",1.0,2.0,1952.0,12/10/15,0.0,3000.0,,2.88,1076.0
15114102,"1922 42nd Ave, San Francisco, CA",1.0,2.0,1952.0,12/10/15,0.0,3000.0,sqft,2.88,1076.0
15114562,"1937 23rd Ave, San Francisco, CA",3.0,3.0,1941.0,12/23/15,0.0,3001.0,sqft,1.4,1900.0
15114562,"1937 23rd Ave, San Francisco, CA",3.0,3.0,1941.0,12/23/15,0.0,3001.0,,1.4,1900.0
15114643,"1962 23rd Ave, San Francisco, CA",1.0,,1940.0,12/22/15,0.0,2996.0,sqft,0.8,1500.0
15114643,"1962 23rd Ave, San Francisco, CA",1.0,,1940.0,12/22/15,0.0,2996.0,,0.8,1500.0
15115459,"2076 14th Ave, San Francisco, CA",1.0,2.0,1941.0,12/17/15,0.0,3484.0,sqft,1.28,1374.0
15115459,"2076 14th Ave, San Francisco, CA",1.0,2.0,1941.0,12/17/15,0.0,3484.0,,1.28,1374.0
15116499,"2047 44th Ave, San Francisco, CA",1.0,2.0,1946.0,11/30/15,0.0,2996.0,sqft,1.0,1214.0
15116499,"2047 44th Ave, San Francisco, CA",1.0,2.0,1946.0,11/30/15,0.0,2996.0,,1.0,1214.0
15116598,"2007 46th Ave, San Francisco, CA",2.0,3.0,1940.0,12/22/15,0.0,1742.0,sqft,0.905,1300.0
15116598,"2007 46th Ave, San Francisco, CA",2.0,3.0,1940.0,12/22/15,0.0,1742.0,,0.905,1300.0
15117639,"2195 28th Ave, San Francisco, CA",3.0,4.0,1939.0,12/23/15,0.0,2375.0,,1.35,2260.0
15117639,"2195 28th Ave, San Francisco, CA",3.0,4.0,1939.0,12/23/15,0.0,2375.0,sqft,1.35,2260.0
15117892,"2178 22nd Ave, San Francisco, CA",3.0,3.0,1928.0,12/18/15,0.0,2996.0,sqft,1.44,1518.0
15117892,"2178 22nd Ave, San Francisco, CA",3.0,3.0,1928.0,12/18/15,0.0,2996.0,,1.44,1518.0
15118458,"2279 47th Ave, San Francisco, CA",3.0,4.0,1900.0,11/20/15,0.0,2996.0,sqft,1.03,2570.0
15118458,"2279 47th Ave, San Francisco, CA",3.0,4.0,1900.0,11/20/15,0.0,2996.0,,1.03,2570.0
15118633,"2287 43rd Ave, San Francisco, CA",2.0,3.0,1941.0,12/23/15,0.0,2060.0,sqft,0.968,1331.0
15118633,"2287 43rd Ave, San Francisco, CA",2.0,3.0,1941.0,12/23/15,0.0,2060.0,,0.968,1331.0
15118743,"2294 42nd Ave, San Francisco, CA",2.0,3.0,1946.0,12/15/15,0.0,2060.0,sqft,1.06,1650.0
15118743,"2294 42nd Ave, San Francisco, CA",2.0,3.0,1946.0,12/15/15,0.0,2060.0,,1.06,1650.0
15119410,"2223 27th Ave, San Francisco, CA",2.0,3.0,1940.0,12/1/15,0.0,3001.0,sqft,1.6,2378.0
15119410,"2223 27th Ave, San Francisco, CA",2.0,3.0,1940.0,12/1/15,0.0,3001.0,,1.6,2378.0
15119582,"2283 24th Ave, San Francisco, CA",4.0,5.0,1931.0,12/24/15,0.0,2374.0,sqft,1.62,2415.0
15119582,"2283 24th Ave, San Francisco, CA",4.0,5.0,1931.0,12/24/15,0.0,2374.0,,1.62,2415.0
15120387,"2339 20th Ave, San Francisco, CA",2.0,3.0,1924.0,12/9/15,0.0,3000.0,,1.1,1425.0
15120387,"2339 20th Ave, San Francisco, CA",2.0,3.0,1924.0,12/9/15,0.0,3000.0,sqft,1.1,1425.0
15120436,"2375-2377 21ST Ave, San Francisco, CA",,,1939.0,11/16/15,1.0,3049.0,,1.41,3250.0
15120436,"2375-2377 21ST Ave, San Francisco, CA",,,1939.0,11/16/15,1.0,3049.0,sqft,1.41,3250.0
15120641,"2340 29th Ave, San Francisco, CA",2.0,4.0,1927.0,11/13/15,0.0,3484.0,,1.19,1805.0
15120641,"2340 29th Ave, San Francisco, CA",2.0,4.0,1927.0,11/13/15,0.0,3484.0,sqft,1.19,1805.0
15120712,"2343 30th Ave, San Francisco, CA",1.0,2.0,1938.0,12/11/15,0.0,3049.0,,0.9815,1340.0
15120712,"2343 30th Ave, San Francisco, CA",1.0,2.0,1938.0,12/11/15,0.0,3049.0,sqft,0.9815,1340.0
15121139,"2339 41st Ave, San Francisco, CA",3.0,,1967.0,12/16/15,0.0,2996.0,,1.2,2250.0
15121139,"2339 41st Ave, San Francisco, CA",3.0,,1967.0,12/16/15,0.0,2996.0,sqft,1.2,2250.0
15121430,"2394-2396 48TH Ave, San Francisco, CA",2.0,,1949.0,12/31/15,0.0,1438.0,sqft,1.1,2300.0
15121430,"2394-2396 48TH Ave, San Francisco, CA",2.0,,1949.0,12/31/15,0.0,1438.0,,1.1,2300.0
15121661,"2471 43rd Ave, San Francisco, CA",1.0,2.0,1940.0,11/30/15,0.0,3000.0,sqft,0.905,1275.0
15121661,"2471 43rd Ave, San Francisco, CA",1.0,2.0,1940.0,11/30/15,0.0,3000.0,,0.905,1275.0
15122750,"2466 18th Ave, San Francisco, CA",1.0,2.0,1923.0,11/25/15,0.0,2996.0,,1.02,1150.0
15122750,"2466 18th Ave, San Francisco, CA",1.0,2.0,1923.0,11/25/15,0.0,2996.0,sqft,1.02,1150.0
15123111,"2563 16th Ave, San Francisco, CA",2.0,3.0,1927.0,12/30/15,0.0,3049.0,sqft,1.5,1625.0
15123111,"2563 16th Ave, San Francisco, CA",2.0,3.0,1927.0,12/30/15,0.0,3049.0,,1.5,1625.0
15123561,"2555 28th Ave, San Francisco, CA",2.0,4.0,1910.0,12/22/15,0.0,3049.0,sqft,1.01,1360.0
15123561,"2555 28th Ave, San Francisco, CA",2.0,4.0,1910.0,12/22/15,0.0,3049.0,,1.01,1360.0
15123597,"2745 Ulloa St, San Francisco, CA",2.5,4.0,1974.0,11/30/15,0.0,2195.0,,1.18,1303.0
15123597,"2745 Ulloa St, San Francisco, CA",2.5,4.0,1974.0,11/30/15,0.0,2195.0,sqft,1.18,1303.0
15123671,"2579 30th Ave, San Francisco, CA",2.0,,1955.0,12/1/15,0.0,3000.0,sqft,0.65,1475.0
15123671,"2579 30th Ave, San Francisco, CA",2.0,,1955.0,12/1/15,0.0,3000.0,,0.65,1475.0
15124103,"2514 40th Ave, San Francisco, CA",2.0,3.0,1945.0,11/20/15,0.0,3049.0,,1.02,1490.0
15124103,"2514 40th Ave, San Francisco, CA",2.0,3.0,1945.0,11/20/15,0.0,3049.0,sqft,1.02,1490.0
15124281,"2559 44th Ave, San Francisco, CA",1.0,2.0,1945.0,12/18/15,0.0,3000.0,,0.625,1214.0
15124281,"2559 44th Ave, San Francisco, CA",1.0,2.0,1945.0,12/18/15,0.0,3000.0,sqft,0.625,1214.0
15124521,"27 Cutler Ave, San Francisco, CA",3.0,4.0,1949.0,1/28/16,0.0,2495.0,,1.32,1622.0
15124521,"27 Cutler Ave, San Francisco, CA",3.0,4.0,1949.0,1/28/16,0.0,2495.0,sqft,1.32,1622.0
15124522,"2646-2648 Great Hwy, San Francisco, CA",2.0,4.0,1948.0,12/4/15,0.0,2674.0,sqft,1.67,2550.0
15124522,"2646-2648 Great Hwy, San Francisco, CA",2.0,4.0,1948.0,12/4/15,0.0,2674.0,,1.67,2550.0
15124563,"2670 47th Ave, San Francisco, CA",3.0,4.0,1944.0,1/15/16,0.0,3049.0,,1.07,1546.0
15124563,"2670 47th Ave, San Francisco, CA",3.0,4.0,1944.0,1/15/16,0.0,3049.0,sqft,1.07,1546.0
15124603,"2627 45th Ave, San Francisco, CA",2.0,3.0,1937.0,1/5/16,0.0,2996.0,,1.16,1400.0
15124603,"2627 45th Ave, San Francisco, CA",2.0,3.0,1937.0,1/5/16,0.0,2996.0,sqft,1.16,1400.0
15124706,"2647 43rd Ave, San Francisco, CA",2.0,3.0,1948.0,12/7/15,0.0,2996.0,,1.05,1232.0
15124706,"2647 43rd Ave, San Francisco, CA",2.0,3.0,1948.0,12/7/15,0.0,2996.0,sqft,1.05,1232.0
15125578,"2651 15th Ave, San Francisco, CA",2.0,2.0,1948.0,12/3/15,0.0,3188.0,,1.5,2057.0
15125578,"2651 15th Ave, San Francisco, CA",2.0,2.0,1948.0,12/3/15,0.0,3188.0,sqft,1.5,2057.0
15125727,"496 Crestlake Dr, San Francisco, CA",4.0,4.0,1931.0,12/30/15,0.0,7426.0,,1.6,3085.0
15125727,"496 Crestlake Dr, San Francisco, CA",4.0,4.0,1931.0,12/30/15,0.0,7426.0,sqft,1.6,3085.0
